Sala,Fecha2,Presidente,Integrante1,Integrante2,Integrante3,Integrante4,Causa1,Causa2,Causa3,Causa4
TERCERA,2022-05-20,MU,ARAVANALES,CARROZA,MORALES,RUZ,permiso,,,
SEGUNDA,2022-05-20,BRITO,VALDERRAMA,DAHM,LLANOS,ATAVOLARI,,,,
PRIMERA,2022-05-20,SILVA,PRADO,AREPETTO,MUNITA,AETCHEBERRY,,,,
PRIMERA,2022-05-23,SILVA,PRADO,SILVA,AREPETTO,MUNITA,,,,
CUARTA,2022-05-24,BLANCO,ACHEVESICH,AMU,RUZ,AETCHEBERRY,,,,
TERCERA,2022-05-24,MU,AVIVANCO,ARAVANALES,CARROZA,MATUS,,,,
SEGUNDA,2022-05-24,VALDERRAMA,DAHM,LLANOS,ALETELIER,ATAVOLARI,,,,
CUARTA,2022-05-25,BLANCO,ACHEVESICH,AMU,RUZ,AETCHEBERRY,,,,
TERCERA,2022-05-25,MU,AVIVANCO,CARROZA,MATUS,ALCALDE,,,,
SEGUNDA,2022-05-25,VALDERRAMA,DAHM,LLANOS,ALETELIER,ABUAUAD,,,,
PRIMERA,2022-05-25,SILVA,PRADO,SILVA,AREPETTO,FUENTES,,,,
CUARTA,2022-05-26,BLANCO,ACHEVESICH,MATUS,MUNITA,ACOPPO,,,,
TERCERA,2022-05-26,AVIVANCO,CARROZA,ALETELIER,ALCALDE,AGUILA,subroga,,,
SEGUNDA,2022-05-26,VALDERRAMA,DAHM,LLANOS,ATAVOLARI,AETCHEBERRY,subroga,,,
PRIMERA,2022-05-26,SILVA,PRADO,SILVA,AREPETTO,FUENTES,,,,
CUARTA,2022-05-27,BLANCO,ACHEVESICH,AMU,ACOPPO,AETCHEBERRY,,,,
